date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
2017-05-30,0.671,0.6306,5.52,-6.5718,0.52,0.143214,0.1819093,0.04261413,0.205154,0.49155,120.16636,218375.78,2017
2017-05-31,0.68346,0.6271,5.88,-6.67154,0.52,0.14016,0.1896556,0.034166007,0.176732,0.51767,124.43694,215360.64,2017
2017-06-01,0.68858,0.62964,5.66,-6.75598,0.54,0.14269,0.2003736,0.048784344,0.180082,0.49867,128.04726,212695.54,2017
2017-06-02,0.68134,0.61108,5.68,-7.04692,0.52,0.151898,0.1950236,0.042999165,0.181702,0.48325,123.17434,213830.42,2017
2017-06-03,0.69006,0.6028,5.28,-7.0543,0.54,0.147086,0.1978094,0.041134402,0.173844,0.496914,121.13718,214798,2017
2017-06-05,0.65134,0.65674,4.86,-6.41156,0.56,0.128894,0.153743314,0.034162095,0.177756,0.48738,123.7203,217705.96,2017
2017-06-06,0.65532,0.64096,4.94,-6.71348,0.58,0.122824,0.183014314,0.048140162,0.190392,0.48698,124.78944,217654.36,2017
2017-06-07,0.64884,0.61762,4.78,-6.95304,0.54,0.120688,0.214196314,0.048116632,0.180252,0.48096,124.4387,220185.54,2017
2017-06-08,0.64318,0.62346,4.88,-6.77626,0.52,0.11076,0.213672514,0.033498128,0.185712,0.4953,122.0264,219936.3,2017
2017-06-09,0.66298,0.6552,4.82,-6.45864,0.56,0.126392,0.157164314,0.034137272,0.169502,0.51092,124.54154,217457.36,2017
2017-06-10,0.66192,0.65078,5.28,-6.32646,0.5,0.11816,0.185732314,0.018806642,0.166114,0.51508,120.47478,221305.18,2017
2017-06-11,0.67104,0.6599,5.02,-6.20434,0.52,0.123896,0.182798314,0.009267051,0.174474,0.52408,120.77466,219185.28,2017
2017-06-12,0.66264,0.65154,5.98,-6.02514,0.56,0.130526,0.1680021,0.005784815,0.15752,0.4745,118.55812,215701.86,2017
2017-06-13,0.6583,0.6606,6.02,-6.02264,0.54,0.127814,0.1745373,0.006394131,0.15932,0.47578,118.53814,216493.98,2017
2017-06-14,0.66046,0.66614,5.94,-6.03256,0.54,0.134142,0.1618125,0.014100449,0.160368,0.48278,122.12406,214938.64,2017
2017-06-15,0.66738,0.65566,5.96,-6.14008,0.54,0.138114,0.1836545,0.014100444,0.166584,0.47924,121.846,212867.8,2017
2017-06-16,0.68172,0.64164,5.6,-6.34494,0.54,0.149018,0.2020943,0.0067104,0.168358,0.49804,119.93058,213579.02,2017
2017-06-17,0.68192,0.62662,5.86,-6.67594,0.52,0.14616,0.2152421,0.00672507,0.164438,0.50058,118.34856,209738.16,2017
2017-06-18,0.69552,0.62034,5.42,-6.68658,0.52,0.139822,0.2156401,0.00671757,0.165218,0.485,117.75098,212570,2017
2017-06-19,0.66596,0.67258,5.66,-6.10526,0.52,0.132066,0.16332248,0.030021219,0.16525,0.422622,120.1617,234469.02,2017
2017-06-20,0.67284,0.68596,5.12,-5.93072,0.56,0.122012,0.164549072,0.029804179,0.159904,0.43487,116.36692,233892.3,2017
2017-06-21,0.67974,0.6654,5.52,-6.1921,0.58,0.123578,0.173472,0.024570221,0.155606,0.44958,113.11936,234248.64,2017
2017-06-22,0.68554,0.67136,5.48,-5.99508,0.58,0.127842,0.168958,0.025529041,0.165246,0.44082,114.08278,235175.18,2017
2017-06-23,0.6995,0.67996,5.36,-6.10554,0.58,0.136424,0.15283,0.024895239,0.16002,0.44436,113.48776,232891.78,2017
2017-06-24,0.71252,0.69568,5.34,-6.00234,0.5,0.141744,0.1331646,0.024581288,0.156334,0.46568,113.9778,231324.7,2017
2017-06-25,0.71802,0.6909,5.36,-6.09596,0.52,0.142946,0.1510646,0.010392214,0.168022,0.47574,113.58912,227631.88,2017
2017-06-26,0.67892,0.67156,4.94,-6.27122,0.58,0.12552,0.16792748,0.008934949,0.173692,0.472632,119.39532,220942.78,2017
2017-06-27,0.67022,0.66658,4.86,-6.19924,0.62,0.119488,0.17015948,0.022867734,0.178724,0.465466,119.7998,218967.18,2017
2017-06-28,0.66682,0.66244,4.88,-6.20898,0.6,0.113952,0.19138948,0.023207881,0.177144,0.460286,120.78244,222383.54,2017
2017-06-29,0.6492,0.6694,4.7,-6.0315,0.6,0.105384,0.20070368,0.026146657,0.189036,0.446126,120.23732,224445.16,2017
2017-06-30,0.68104,0.67954,4.4,-6.1753,0.58,0.105526,0.1886704,0.015589718,0.199092,0.479226,119.9288,219035.02,2017
2017-07-01,0.7027,0.664,4.64,-6.15352,0.54,0.107244,0.1853644,0.015338853,0.183224,0.50688,119.2095,223566.48,2017
2017-07-02,0.70168,0.6698,4.72,-6.34858,0.52,0.101202,0.2062544,0.039313433,0.180262,0.52248,118.32366,223495.9,2017
2017-07-03,0.68122,0.62878,5.38,-6.48664,0.56,0.130554,0.2075884,0.02142386,0.173166,0.4397,117.45854,216942.16,2017
2017-07-04,0.67028,0.62046,5.4,-6.48808,0.64,0.113076,0.2283258,0.021297346,0.168964,0.44468,116.68698,216953.12,2017
2017-07-05,0.65652,0.6039,5.88,-6.8332,0.68,0.110688,0.2519398,0.027197568,0.17146,0.43158,116.34846,214500.38,2017
2017-07-06,0.6467,0.6089,5.9,-6.80988,0.7,0.104584,0.2563098,0.032532932,0.190812,0.40354,115.6161,216093.72,2017
2017-07-07,0.65336,0.62178,5.66,-6.73162,0.66,0.10851,0.2503218,0.041675302,0.192556,0.4215,116.91704,220022.94,2017
2017-07-08,0.66504,0.64214,5.62,-6.51046,0.62,0.108918,0.2339858,0.041668425,0.182904,0.43762,116.35842,217838.22,2017
2017-07-09,0.65396,0.64384,5.48,-6.57182,0.64,0.107738,0.225445,0.059528425,0.185724,0.429,118.32008,221803.82,2017
2017-07-10,0.65426,0.61724,6.38,-6.93488,0.64,0.142096,0.211587,0.021864759,0.164688,0.47824,118.4019,211347.44,2017
2017-07-11,0.66602,0.63058,6.42,-6.76316,0.62,0.140096,0.2017572,0.021860871,0.152952,0.49064,118.5259,212434.92,2017
2017-07-12,0.6924,0.61122,6.2,-7.2971,0.62,0.138852,0.203347,0.061959967,0.147978,0.49628,112.30396,212007.46,2017
2017-07-13,0.68744,0.61296,5.82,-7.1692,0.62,0.141134,0.204402,0.059850463,0.151026,0.47762,114.43252,211289.1,2017
2017-07-14,0.6902,0.61506,6.08,-7.18376,0.58,0.13054,0.2006262,0.048281152,0.147286,0.50602,112.60438,209788.32,2017
2017-07-15,0.6925,0.61456,5.92,-7.10846,0.56,0.124064,0.19795218,0.057237152,0.164718,0.5011,112.89122,212718.64,2017
2017-07-16,0.69886,0.62498,5.72,-6.9574,0.56,0.120144,0.18612018,0.057439817,0.16018,0.50186,111.39066,211811.06,2017
2017-07-17,0.68046,0.629,4.98,-6.92062,0.54,0.116424,0.204627,0.048225384,0.190798,0.44018,114.25582,217431.4,2017
2017-07-18,0.68034,0.62878,4.98,-6.89992,0.58,0.109816,0.206991,0.056573316,0.19253,0.44452,114.12502,216892.96,2017
2017-07-19,0.67988,0.6457,5.26,-6.5444,0.58,0.104986,0.18974844,0.035754516,0.198572,0.436366,116.09606,217566.26,2017
2017-07-20,0.68362,0.64704,5,-6.5972,0.56,0.098642,0.196399,0.035916212,0.20253,0.440106,115.87414,216720.4,2017
2017-07-21,0.6721,0.63938,5.34,-6.72392,0.6,0.102692,0.200546,0.025971879,0.204068,0.408608,113.51392,216490.22,2017
2017-07-22,0.66154,0.64604,5.32,-6.59346,0.64,0.097668,0.189242,0.02514988,0.21647,0.413368,114.73078,214931.62,2017
2017-07-24,0.62676,0.60236,5.78,-6.98368,0.64,0.114036,0.2208678,0.013446068,0.174102,0.401624,118.34986,220811.26,2017
2017-07-25,0.62082,0.61216,5.72,-7.01808,0.64,0.108352,0.2244164,0.038826618,0.177948,0.416764,119.91562,226451.98,2017
2017-07-26,0.61844,0.6061,5.4,-7.12932,0.68,0.109458,0.2456364,0.019532756,0.171852,0.41862,119.57248,219430.9,2017
2017-07-27,0.63604,0.60206,5.6,-7.24152,0.62,0.126536,0.241943,0.019127714,0.160754,0.438838,116.6295,215563.04,2017
2017-07-28,0.6675,0.60518,6.02,-7.05962,0.62,0.13457,0.2357812,0.012738978,0.147556,0.441418,116.45004,215715,2017
2017-07-29,0.66696,0.60708,6.04,-6.9714,0.62,0.134066,0.2323972,0.013570978,0.15563,0.434018,116.18764,215674.76,2017
2017-07-30,0.66876,0.60774,6.02,-7.02972,0.6,0.12802,0.2219072,0.004311038,0.168456,0.438118,117.00332,216740.22,2017
2017-07-31,0.66984,0.64412,6.38,-6.45346,0.62,0.108164,0.13867578,0.00215209,0.180584,0.466544,120.51604,212145.4,2017
2017-08-01,0.6641,0.64536,6.5,-6.59508,0.6,0.107882,0.15220378,0.002655357,0.19841,0.459184,118.91948,215073.38,2017
2017-08-02,0.66122,0.63546,6.16,-6.74748,0.62,0.10264,0.15189578,0.002804317,0.195326,0.449944,119.79296,214311.28,2017
2017-08-03,0.66736,0.63612,6,-6.7452,0.6,0.102892,0.15408498,0.019583263,0.195286,0.450084,118.95418,214294.42,2017
2017-08-04,0.66902,0.63366,5.92,-6.79192,0.62,0.103998,0.15854978,0.019546225,0.191004,0.450144,119.86038,213669.32,2017
2017-08-05,0.6725,0.6354,6.12,-6.81906,0.62,0.10146,0.15818554,0.020270425,0.196044,0.444144,116.79668,212300,2017
2017-08-06,0.67124,0.63584,6.08,-6.85862,0.64,0.102274,0.17925594,0.021609735,0.196064,0.445084,115.18404,209837.06,2017
2017-08-07,0.7129,0.626,6.08,-6.29448,0.5,0.133592,0.1572617,0.020089601,0.160884,0.476544,112.5029,208547.56,2017
2017-08-08,0.71462,0.61684,6.1,-6.37026,0.48,0.13222,0.1703257,0.020463601,0.158804,0.472964,113.76286,209011.1,2017
2017-08-09,0.70834,0.61474,5.98,-6.19192,0.46,0.120828,0.1642213,0.003578023,0.157412,0.458244,110.85174,208396.12,2017
2017-08-10,0.69576,0.60234,5.96,-6.39916,0.52,0.118022,0.1794331,0.003577691,0.156114,0.445184,111.83666,208458.2,2017
2017-08-11,0.7007,0.6213,6.18,-6.31918,0.5,0.111098,0.1744833,0.003352007,0.158868,0.486164,114.82788,205723.42,2017
2017-08-12,0.70816,0.62544,6.14,-6.23804,0.5,0.1099,0.1704369,0.004183963,0.169208,0.489024,114.46702,207111.04,2017
2017-08-13,0.69852,0.6284,6.08,-6.23686,0.5,0.107702,0.1699115,0.005436895,0.181944,0.484704,116.28994,207997.24,2017
2017-08-14,0.64184,0.6399,4.88,-5.85764,0.66,0.081992,0.1550491,0.023650123,0.164296,0.439664,116.01788,210192.48,2017
2017-08-15,0.64864,0.66772,5.02,-5.50788,0.64,0.08353,0.1294521,0.023097589,0.163732,0.451582,119.87886,210492.6,2017
2017-08-16,0.654,0.67396,4.94,-5.43768,0.62,0.084554,0.1257425,0.023929508,0.175644,0.450962,120.01856,211819.72,2017
2017-08-17,0.64732,0.6839,5.1,-5.4095,0.62,0.086066,0.1302354,0.023929482,0.166148,0.454962,118.91214,212937.8,2017
2017-08-18,0.66496,0.66982,5.38,-5.53564,0.64,0.098158,0.1195191,0.023922541,0.164886,0.444762,122.22316,212405.04,2017
2017-08-19,0.66914,0.65104,5.44,-5.84618,0.62,0.093102,0.1174111,0.021427199,0.165082,0.455082,120.39232,212650.86,2017
2017-08-20,0.66636,0.64934,5.46,-5.83674,0.64,0.098612,0.1380551,0.004538959,0.154002,0.480062,120.45194,213394.22,2017
2017-08-21,0.63666,0.66448,6.64,-5.84826,0.72,0.092382,0.16464124,0.000864215,0.174906,0.45301,115.66462,209693.58,2017
2017-08-22,0.64414,0.66902,6.34,-5.78098,0.68,0.09634,0.15150524,0.004286017,0.183966,0.461372,117.51426,211927.02,2017
2017-08-23,0.63594,0.66822,6.2,-5.8478,0.7,0.099844,0.15177524,0.004285837,0.186918,0.452622,119.25582,213296,2017
2017-08-24,0.63176,0.66912,6.3,-5.91014,0.7,0.09689,0.16260984,0.011309952,0.199726,0.442642,120.5311,219100.8,2017
2017-08-25,0.6434,0.673,5.84,-5.64584,0.62,0.09547,0.1421806,0.011935582,0.191932,0.437612,116.4723,222170.02,2017
2017-08-26,0.6384,0.66678,5.58,-5.87852,0.6,0.09315,0.1625948,0.018353414,0.189454,0.433682,115.93534,222154.78,2017
2017-08-27,0.62834,0.66304,5.9,-5.73496,0.58,0.09999,0.1706388,0.012360552,0.185714,0.439362,115.53102,219667.62,2017
2017-08-28,0.67008,0.66362,6,-5.97378,0.46,0.127512,0.20169468,0.028181859,0.177124,0.47946,121.45448,214874.6,2017
2017-08-29,0.67448,0.658,5.94,-6.16164,0.46,0.129338,0.22174808,0.021268807,0.164154,0.48396,123.58114,211549.66,2017
2017-08-30,0.67014,0.65366,5.92,-6.2243,0.48,0.129706,0.22114008,0.021252489,0.159134,0.46704,123.02228,216278.84,2017
2017-08-31,0.67464,0.65166,5.6,-6.20872,0.48,0.132924,0.22323948,0.007048527,0.169314,0.48644,122.3792,214393.76,2017
2017-09-01,0.67796,0.64714,5.24,-6.18484,0.48,0.127948,0.2268895,0.000800961,0.158684,0.48336,118.68856,215688.5,2017
2017-09-02,0.67086,0.66092,5.18,-6.09616,0.48,0.125444,0.2162115,0.000802242,0.158246,0.49176,118.46468,212872.82,2017
2017-09-03,0.6776,0.66502,5.14,-6.07558,0.5,0.127172,0.1992435,0.000904128,0.172336,0.49722,119.00202,215324.72,2017
